"Region","Sex","Year","Age group","Mean height","Mean height lower 95% uncertainty interval","Mean height upper 95% uncertainty interval","Mean height standard error"
"Central and Eastern Europe","Boys",1985,5,111.37376682265,110.253136319805,112.510207933171,0.579480916255956
"Central and Eastern Europe","Boys",1985,6,117.444349323009,116.405053185646,118.471979479402,0.526432232712288
"Central and Eastern Europe","Boys",1985,7,123.073272664756,122.076596570616,124.037040381689,0.498918893334574
"Central and Eastern Europe","Boys",1985,8,128.387760357293,127.419655437114,129.327285451086,0.486000046114271
"Central and Eastern Europe","Boys",1985,9,133.514170366583,132.542073126603,134.453868433551,0.483024025520618
"Central and Eastern Europe","Boys",1985,10,138.547700390317,137.562196141493,139.498374660329,0.496264105793534
"Central and Eastern Europe","Boys",1985,11,143.751618230176,142.740866448717,144.720058130686,0.506143198958464
"Central and Eastern Europe","Boys",1985,12,149.679667962402,148.645224855636,150.674238268596,0.522137713521681
"Central and Eastern Europe","Boys",1985,13,156.605305486484,155.544118009745,157.636014040273,0.540138150093703
"Central and Eastern Europe","Boys",1985,14,163.213033377184,162.116829408365,164.273801388595,0.560721559197494
"Central and Eastern Europe","Boys",1985,15,168.128276185442,166.968614876363,169.256228784839,0.591603443003889
"Central and Eastern Europe","Boys",1985,16,171.560910785671,170.32539640253,172.769292209233,0.626092595340963
"Central and Eastern Europe","Boys",1985,17,173.923953569155,172.621612861234,175.221894461635,0.667321525384202
"Central and Eastern Europe","Boys",1985,18,175.410374469925,174.017562820969,176.825560713413,0.71349494101604
"Central and Eastern Europe","Boys",1985,19,176.154337184316,174.66148527409,177.743264397949,0.777938721756995
"Central and Eastern Europe","Boys",1986,5,111.389094816119,110.269045759283,112.52257426572,0.57455869860913
"Central and Eastern Europe","Boys",1986,6,117.45786554898,116.427517409248,118.4719578624,0.518857719963211
"Central and Eastern Europe","Boys",1986,7,123.099165998122,122.127470417392,124.043161370167,0.488139466412681
"Central and Eastern Europe","Boys",1986,8,128.423088327824,127.480299568623,129.347357120018,0.472113778738528
"Central and Eastern Europe","Boys",1986,9,133.556971271739,132.624343245045,134.456842079755,0.466506810919231
"Central and Eastern Europe","Boys",1986,10,138.619510222269,137.67080007718,139.525276562823,0.475079865230607
"Central and Eastern Europe","Boys",1986,11,143.839306596189,142.873776480526,144.774065068735,0.483003234252187
"Central and Eastern Europe","Boys",1986,12,149.787062647882,148.799994498267,150.7409916303,0.496506002856751
"Central and Eastern Europe","Boys",1986,13,156.73245909603,155.734126397643,157.713199715739,0.51216202916948
"Central and Eastern Europe","Boys",1986,14,163.350708190193,162.314009819683,164.368112781986,0.530441165924415
"Central and Eastern Europe","Boys",1986,15,168.26179729849,167.160599042292,169.32683733025,0.557346826402035
"Central and Eastern Europe","Boys",1986,16,171.679289825777,170.526509260772,172.794883216638,0.586144016210416
"Central and Eastern Europe","Boys",1986,17,174.027424734298,172.814388983411,175.22635953754,0.620395898509377
"Central and Eastern Europe","Boys",1986,18,175.490048794179,174.207479192773,176.789192024224,0.6579817447168
"Central and Eastern Europe","Boys",1986,19,176.223780883832,174.857613417607,177.66322696942,0.712189820612469
"Central and Eastern Europe","Boys",1987,5,111.408123305642,110.288689853944,112.544738768237,0.56994893682063
"Central and Eastern Europe","Boys",1987,6,117.470085271084,116.463809056529,118.468232176116,0.513891795522596
"Central and Eastern Europe","Boys",1987,7,123.108763873719,122.145791394062,124.047684755034,0.480483135255542
"Central and Eastern Europe","Boys",1987,8,128.444505510096,127.527998944212,129.34311278861,0.461271935979122
"Central and Eastern Europe","Boys",1987,9,133.587220724716,132.68577881311,134.472456027498,0.452512184244698
"Central and Eastern Europe","Boys",1987,10,138.682251347001,137.777368367745,139.553783912357,0.454608457283525
"Central and Eastern Europe","Boys",1987,11,143.914081650151,143.003157873575,144.797750657323,0.460217958026688
"Central and Eastern Europe","Boys",1987,12,149.87772231881,148.921726551989,150.795208672936,0.472090470539272
"Central and Eastern Europe","Boys",1987,13,156.842467813021,155.893918581118,157.780592913668,0.485217000441087
"Central and Eastern Europe","Boys",1987,14,163.479601424298,162.509591875269,164.449714775009,0.501176384337251
"Central and Eastern Europe","Boys",1987,15,168.397885572599,167.356440206277,169.418454728071,0.526039981444332
"Central and Eastern Europe","Boys",1987,16,171.812189158452,170.724529643571,172.864675279128,0.550880078558719
"Central and Eastern Europe","Boys",1987,17,174.148753688014,173.014001273553,175.253245183773,0.579184371720127
"Central and Eastern Europe","Boys",1987,18,175.59966123176,174.412173347758,176.785734149196,0.60958055227401
"Central and Eastern Europe","Boys",1987,19,176.310116491943,175.047304064889,177.609281345515,0.655755565129319
"Central and Eastern Europe","Boys",1988,5,111.428297663658,110.305280771805,112.552138085928,0.566607117470877
"Central and Eastern Europe","Boys",1988,6,117.487103151479,116.475366986206,118.46465056342,0.508716986962421
"Central and Eastern Europe","Boys",1988,7,123.117981910325,122.169833674885,124.034620697353,0.474932422633661
"Central and Eastern Europe","Boys",1988,8,128.450130697508,127.548713189699,129.327063526461,0.453113450360663
"Central and Eastern Europe","Boys",1988,9,133.604106198329,132.723108140736,134.462514172314,0.441273845803049
"Central and Eastern Europe","Boys",1988,10,138.736482059173,137.87181225727,139.582840708393,0.435768532722689
"Central and Eastern Europe","Boys",1988,11,143.97633438497,143.110204449488,144.814409961102,0.438904364639503
"Central and Eastern Europe","Boys",1988,12,149.951590130744,149.064183693347,150.81436439688,0.448506654970527
"Central and Eastern Europe","Boys",1988,13,156.931567692785,156.020499894366,157.824656333725,0.460028662750538
"Central and Eastern Europe","Boys",1988,14,163.587124253901,162.660150522652,164.510765178018,0.473363769364712
"Central and Eastern Europe","Boys",1988,15,168.523276703462,167.554475051057,169.487424434507,0.496739618298376
"Central and Eastern Europe","Boys",1988,16,171.951809957505,170.923643071132,172.959586585453,0.519066215973599
"Central and Eastern Europe","Boys",1988,17,174.287870213193,173.216162535051,175.333549444834,0.543483981950218
"Central and Eastern Europe","Boys",1988,18,175.727885951458,174.613685580915,176.810969499342,0.567875182931871
"Central and Eastern Europe","Boys",1988,19,176.423693602442,175.23715059526,177.617328398965,0.607335111135094
"Central and Eastern Europe","Boys",1989,5,111.430135991581,110.323175969748,112.542069050779,0.562426531788782
"Central and Eastern Europe","Boys",1989,6,117.507115642797,116.504341233068,118.489965466876,0.504109539604196
"Central and Eastern Europe","Boys",1989,7,123.13366857532,122.189650032649,124.034415349307,0.468620767388272
"Central and Eastern Europe","Boys",1989,8,128.456964405622,127.572044027405,129.317571265945,0.44640406892507
"Central and Eastern Europe","Boys",1989,9,133.606381542614,132.737622795125,134.445279374593,0.432112369527432
